index,Village_Area_Name,Beat Number,No of Crimes in Each Beat,UNITS,ASI,CHC,CPC,Crime Severity Weights of Beat
659,NANDAWADAGI,01,27,"SP, BAGALKOTE",111,331,660,15.0
665,BALAKUNDI,1,29,"SP, BAGALKOTE",111,331,660,15.0
671,HERUR,4,19,"SP, BAGALKOTE",111,331,660,15.0
677,KARADI,8,16,"SP, BAGALKOTE",111,331,660,14.0
682,HIREKODAGALI,2,33,"SP, BAGALKOTE",111,331,660,26.0
693,INGALAGI,3,19,"SP, BAGALKOTE",111,331,660,14.0
698,GADISUNKAPUR,5,20,"SP, BAGALKOTE",111,331,660,15.0
704,PALATI,7,15,"SP, BAGALKOTE",111,331,660,14.0
709,KUMBARHALL,6,22,"SP, BAGALKOTE",111,331,660,11.0
714,KUNCHANUR,4,24,"SP, BAGALKOTE",111,331,660,15.0
720,SIDDAPUR,8,32,"SP, BAGALKOTE",111,331,660,15.0
726,KALLALLI,1,37,"SP, BAGALKOTE",111,331,660,15.0
732,SANAL,3,31,"SP, BAGALKOTE",111,331,660,15.0
738,SIDDAPUR,5,25,"SP, BAGALKOTE",111,331,660,15.0
744,HUNASHIKATTI,9,21,"SP, BAGALKOTE",111,331,660,15.0
750,CHINAGUNDI,7,25,"SP, BAGALKOTE",111,331,660,15.0
756,MUTTUR,2,17,"SP, BAGALKOTE",111,331,660,15.0
762,BIJAPUR ROAD,03,39,"SP, BAGALKOTE",111,331,660,15.0
768,SADANANDA COLONY,04,32,"SP, BAGALKOTE",111,331,660,15.0
774,PRABATH NAGAR,05,28,"SP, BAGALKOTE",111,331,660,15.0
780,CHOUDAYA NAGAR,01,34,"SP, BAGALKOTE",111,331,660,15.0
786,P B SCHOOL GALLI,02,40,"SP, BAGALKOTE",111,331,660,15.0
792,RAMESHWAR COLONY,06,22,"SP, BAGALKOTE",111,331,660,14.0
797,TULASIGERI,3,27,"SP, BAGALKOTE",111,331,660,15.0
803,KALADAGI,TOWN BEAT,32,"SP, BAGALKOTE",111,331,660,15.0
809,ANKALAGI,1,19,"SP, BAGALKOTE",111,331,660,14.0
814,SIMIKERI,4,34,"SP, BAGALKOTE",111,331,660,15.0
820,GOVINDAKOPPA,2,24,"SP, BAGALKOTE",111,331,660,15.0
826,SULIKERI,3,43,"SP, BAGALKOTE",111,331,660,26.0
837,NARENUR,2,46,"SP, BAGALKOTE",111,331,660,26.0
848,MATTIKATTI,4,48,"SP, BAGALKOTE",111,331,660,30.0
860,SARKARI HANAMANERI,5,26,"SP, BAGALKOTE",111,331,660,15.0
866,SAMAGAR GALLI,1,62,"SP, BAGALKOTE",111,331,660,30.0
878,ANAVAL,6,24,"SP, BAGALKOTE",111,331,660,15.0
884,BOMMANABUDNI,2,55,"SP, BAGALKOTE",111,331,660,22.0
894,SUBHAS NAGAR LAKSHANATTI,1,50,"SP, BAGALKOTE",111,331,660,30.0
906,CHOUDAPUR,4,22,"SP, BAGALKOTE",111,331,660,15.0
912,ARALIKATTI,3,24,"SP, BAGALKOTE",111,331,660,15.0
918,OTHER LIMITS,OTHER LIMITS,1,"SP, BAGALKOTE",111,331,660,3.0
919,BUDNI P.D,2,40,"SP, BAGALKOTE",111,331,660,21.0
928,SAIDAPUR SAMIRAWADI,4,51,"SP, BAGALKOTE",111,331,660,30.0
940,DUTCH COLONY,3,41,"SP, BAGALKOTE",111,331,660,26.0
951,BUDNI P.D,1,52,"SP, BAGALKOTE",111,331,660,26.0
962,OTHER PS LIMITS,OTHER PS LIMITS,1,"SP, BAGALKOTE",111,331,660,5.0
963,JANATHA PLOT,7,42,"SP, BAGALKOTE",111,331,660,15.0
969,Shirol,1,65,"SP, BAGALKOTE",111,331,660,30.0
981,Ingalagi,3,60,"SP, BAGALKOTE",111,331,660,30.0
993,Uttur,5,43,"SP, BAGALKOTE",111,331,660,30.0
1005,Baragi,4,42,"SP, BAGALKOTE",111,331,660,30.0
1017,Budni PM,2,60,"SP, BAGALKOTE",111,331,660,30.0
1029,RAMPUR GALLI,6,50,"SP, BAGALKOTE",111,331,660,29.0
1040,HOUSING COLONY,8,27,"SP, BAGALKOTE",111,331,660,15.0
1046,Navanagar,03,38,"SP, BAGALKOTE",111,331,660,15.0
1052,Navanagar,04,32,"SP, BAGALKOTE",111,331,660,15.0
1058,Vidyagiri,02,25,"SP, BAGALKOTE",111,331,660,14.0
1063,Navanagar,05,38,"SP, BAGALKOTE",111,331,660,15.0
1069,Vidyagiri,01,32,"SP, BAGALKOTE",111,331,660,15.0
1075,Navanagar,06,31,"SP, BAGALKOTE",111,331,660,15.0
1081,Industrial area Navanagar,07,12,"SP, BAGALKOTE",111,331,660,11.0
1086,TUNGAL,RURAL BEAT I,37,"SP, BAGALKOTE",111,331,660,15.0
1092,TUNGAL,1,29,"SP, BAGALKOTE",111,331,660,15.0
1098,CHIKKALAKI,3,34,"SP, BAGALKOTE",111,331,660,15.0
1104,KURAGOD,4,32,"SP, BAGALKOTE",111,331,660,15.0
1110,TUBACHI,2,44,"SP, BAGALKOTE",111,331,660,30.0
1122,SASALATTI,1,77,"SP, BAGALKOTE",111,331,660,45.0
1140,TAMADADDI VILLAGE,2,34,"SP, BAGALKOTE",111,331,660,26.0
1151,TERDAL,TERADAL TOWN  BEAT I,32,"SP, BAGALKOTE",111,331,660,15.0
1157,DEVARAJ NAGAR,TERDAL TOWN BEAT II,30,"SP, BAGALKOTE",111,331,660,15.0
1163,Andral,3,53,"SP, BELLARY",98,286,535,45.0
1181,CHELUVADI KEREI AREA,2,43,"SP, BELLARY",98,286,535,41.0
1198,BANDIMOTE AREA,1,59,"SP, BELLARY",98,286,535,56.0
1221,Ballari Rural PS Limits,Ballari Rural Sub Division,6,"SP, BELLARY",98,286,535,9.0
1225,Brucepet PS Limits,Ballari City Sub Division,9,"SP, BELLARY",98,286,535,14.0
1230,H.B.HALLI AREA,Hagaribommanahalli,2,"SP, BELLARY",98,286,535,4.0
1232,SANKALAPURA,HOSPET SUBDIVISION,2,"SP, BELLARY",98,286,535,7.0
1234,Torangal Village,Kudligi Sub Division,2,"SP, BELLARY",98,286,535,7.0
1236,KAMALAPURA PS LIMITS,HAMPI SUB DIVISON,1,"SP, BELLARY",98,286,535,4.0
1237,HOSPET TOWN PS LIMITS,Hospet sub Divison,1,"SP, BELLARY",98,286,535,4.0
1238,KURUGODU PS LIMITS,Kurugodu PS,2,"SP, BELLARY",98,286,535,4.0
1240,KUDLIGI,KUDLIGI SUB DIVISON,2,"SP, BELLARY",98,286,535,9.0
1242,HARAPANAHALLI PS LIMITS,HARAPANAHALLI SUB DIVISION,2,"SP, BELLARY",98,286,535,7.0
1244,SANDUR PS LIMITS,TORANAGAL SUB DIVISION,1,"SP, BELLARY",98,286,535,4.0
1245,BELLARY RURAL,BELLARY RURAL,15,"SP, BELLARY",98,286,535,12.0
1249,GNPS,GNPS Limits,19,"SP, BELLARY",98,286,535,15.0
1254,CB PS,CBPS Area,21,"SP, BELLARY",98,286,535,15.0
1259,Brucepet PS limts,Brucepet PS area,16,"SP, BELLARY",98,286,535,15.0
1264,APMC PS Limits,APMC PS Area,9,"SP, BELLARY",98,286,535,8.0
1267,BASARAKODU VILLEGE,MOKA P S AREA,10,"SP, BELLARY",98,286,535,12.0
1271,Yelubenchi village,KUDITHINI PS LIMITS,2,"SP, BELLARY",98,286,535,7.0
1273,Hagari Village,PD Halli PS Limits,9,"SP, BELLARY",98,286,535,12.0
1277,Hospet,Vivekananda nagar,2,"SP, BELLARY",98,286,535,5.0
1278,Bevinahalli Village,Kurugudu,3,"SP, BELLARY",98,286,535,5.0
1279,Navanagar,Bagalakote,1,"SP, BELLARY",98,286,535,5.0
1280,Tekkalkote,Tekkalakote,1,"SP, BELLARY",98,286,535,2.0
1281,KOLURU,KURUGODU P S  LIMITS,3,"SP, BELLARY",98,286,535,5.0
1282,Hospet Extention,Hospet,1,"SP, BELLARY",98,286,535,5.0
1283,Gundamma camp,Gangavathi,1,"SP, BELLARY",98,286,535,5.0
1284,others,Other,7,"SP, BELLARY",98,286,535,13.0
1288,KAPPAGALLU,2,47,"SP, BELLARY",98,286,535,15.0
1294,ANDRAL,3,25,"SP, BELLARY",98,286,535,15.0
1300,B.GONAL,1,36,"SP, BELLARY",98,286,535,15.0
1306,HALADAHALLI,5,46,"SP, BELLARY",98,286,535,15.0
1312,HALDALLI,4,42,"SP, BELLARY",98,286,535,15.0
1318,COWL BAZAR MAIN ROAD,3,3,"SP, BELLARY",98,286,535,3.0
1319,BURCEPET PS AREA,1,4,"SP, BELLARY",98,286,535,3.0
1320,ANANTPUR ROAD,4,3,"SP, BELLARY",98,286,535,3.0
1321,SAGANKALU ROAD,2,4,"SP, BELLARY",98,286,535,3.0
1322,DATTASAI NAGARA AREA,6,36,"SP, BELLARY",98,286,535,15.0
1328,BIG VEG MARKET,1,37,"SP, BELLARY",98,286,535,15.0
1334,MEENAKASHI CIRCLE,5,34,"SP, BELLARY",98,286,535,15.0
1340,BANGALORE ROAD,4,39,"SP, BELLARY",98,286,535,15.0
1346,RANITHOTA AREA,2,26,"SP, BELLARY",98,286,535,15.0
1352,STATION ROAD AREA,3,30,"SP, BELLARY",98,286,535,15.0
1358,HARISCHANDRA GHAT AREA,7,15,"SP, BELLARY",98,286,535,11.0
1363,OTHER,OTHER,11,"SP, BELLARY",98,286,535,14.0
1368,N Mallapura,2,33,"SP, BELLARY",98,286,535,15.0
1374,Goldsmith colony,2,35,"SP, BELLARY",98,286,535,15.0
1380,Siddharthanagar,7,38,"SP, BELLARY",98,286,535,15.0
1386,Pakali street,3,36,"SP, BELLARY",98,286,535,15.0
1392,KARKHANA MOSQUE,5,38,"SP, BELLARY",98,286,535,15.0
1398,Dhobi street,1,39,"SP, BELLARY",98,286,535,15.0
1404,NAGALAKERE,4,25,"SP, BELLARY",98,286,535,15.0
1410,Jayanagar,6,29,"SP, BELLARY",98,286,535,15.0
1416,DHARMASAGAR,3,29,"SP, BELLARY",98,286,535,15.0
1422,KUREKUPPA,5,20,"SP, BELLARY",98,286,535,14.0
1427,BAILUVADDIGER,1,21,"SP, BELLARY",98,286,535,15.0
1433,GADIGANOORU,4,12,"SP, BELLARY",98,286,535,10.0
1437,GUNDLUVADDIGERI,2,16,"SP, BELLARY",98,286,535,15.0
1443,JOGA,6,20,"SP, BELLARY",98,286,535,15.0
1449,Other PS Jurisdiction,Other Beat,3,"SP, BELLARY",98,286,535,5.0
1450,MOKA ROAD,2,39,"SP, BELLARY",98,286,535,15.0
1456,SANGANAKALLU ROAD,4,34,"SP, BELLARY",98,286,535,15.0
1462,NEHARU COLONY FIRST CROSS,3,21,"SP, BELLARY",98,286,535,15.0
1468,PARVATHI NAGAR FRIST CROSS,1,44,"SP, BELLARY",98,286,535,15.0
1474,SATYA NARAYA PET FIRST CROSS,5,33,"SP, BELLARY",98,286,535,15.0
1480,OTHER STATE,OTHERS,3,"SP, BELLARY",98,286,535,3.0
1481,KOTTHALACHINTHE,5,16,"SP, BELLARY",98,286,535,14.0
1486,RAVIHAL,6,14,"SP, BELLARY",98,286,535,14.0
1491,HATCHOLLI,1,27,"SP, BELLARY",98,286,535,15.0
1497,CHIKKABELLARY,2,16,"SP, BELLARY",98,286,535,10.0
1501,KUDUDARAHAL,7,10,"SP, BELLARY",98,286,535,11.0
1506,HOSA NAGALAPURA,3,15,"SP, BELLARY",98,286,535,10.0
1510,BEERALLI,4,12,"SP, BELLARY",98,286,535,14.0
1515,KAMPLI,2,46,"SP, BELLARY",98,286,535,15.0
1521,SUGGENAHALLI,8,9,"SP, BELLARY",98,286,535,11.0
1526,ITAGI,5,13,"SP, BELLARY",98,286,535,14.0
1531,METRY,10,19,"SP, BELLARY",98,286,535,15.0
1537,JAVAKU,7,15,"SP, BELLARY",98,286,535,15.0
1543,CHIKKAJOIGNOOR,11,13,"SP, BELLARY",98,286,535,15.0
1549,SANAPURA,4,15,"SP, BELLARY",98,286,535,10.0
1553,RAMASAGAR,1,26,"SP, BELLARY",98,286,535,11.0
1558,HAMPADEVANAHALLI,9,14,"SP, BELLARY",98,286,535,11.0
1562,No Ten Muddapur,3,16,"SP, BELLARY",98,286,535,11.0
1567,DEVASAMUDRA,6,14,"SP, BELLARY",98,286,535,11.0
1572,OTHER,OTHER,2,"SP, BELLARY",98,286,535,8.0
1574,ELUBENCHI,03,23,"SP, BELLARY",98,286,535,15.0
1580,KUDUTHINI,01,61,"SP, BELLARY",98,286,535,26.0
1591,THIMMALAPURA,04,27,"SP, BELLARY",98,286,535,11.0
1596,BHULAKSHIMI CAMP,02,18,"SP, BELLARY",98,286,535,15.0
1602,DEVALAPUR,06,23,"SP, BELLARY",98,286,535,15.0
1608,DEVALAPURA,05,18,"SP, BELLARY",98,286,535,15.0
1614,VENIVEERAPURA,OTHER BEAT,1,"SP, BELLARY",98,286,535,0.0
1615,ORVAI,5,23,"SP, BELLARY",98,286,535,15.0
1621,Badanahatti,1,39,"SP, BELLARY",98,286,535,15.0
1627,OTHERS,OTHERS,14,"SP, BELLARY",98,286,535,14.0
1632,EMMIGANUR,6,34,"SP, BELLARY",98,286,535,15.0
1638,SOMASAMUDRA,2,37,"SP, BELLARY",98,286,535,15.0
1644,H.VEERAPURA,4,27,"SP, BELLARY",98,286,535,15.0
1650,BYLUR,3,34,"SP, BELLARY",98,286,535,15.0
1656,JALEBENCHI,04,33,"SP, BELLARY",98,286,535,15.0
1662,SHIVAPURA,01,31,"SP, BELLARY",98,286,535,15.0
1668,GOTTURU,03,27,"SP, BELLARY",98,286,535,15.0
1674,HALE YERRAGUDI,02,28,"SP, BELLARY",98,286,535,15.0
1680,OTHER VILLAGE,OTHER BEAT,2,"SP, BELLARY",98,286,535,8.0
1682,HAGRI,1,33,"SP, BELLARY",98,286,535,15.0
1688,K.VEERAPURA,3,27,"SP, BELLARY",98,286,535,15.0
1694,ASUNDI,2,20,"SP, BELLARY",98,286,535,15.0
1700,LINGADEVANAHALLI,4,26,"SP, BELLARY",98,286,535,11.0
1705,DEOGIRI,5,17,"SP, BELLARY",98,286,535,15.0
1711,SANDUR,1,45,"SP, BELLARY",98,286,535,15.0
1717,SUSHILANAGARA,3,27,"SP, BELLARY",98,286,535,15.0
1723,NANDIHALLI,4,30,"SP, BELLARY",98,286,535,15.0
1729,YASAVANTHNAGARA,2,32,"SP, BELLARY",98,286,535,15.0
1735,OTHE JURISDECTION,other beat,1,"SP, BELLARY",98,286,535,3.0
1736,ULURU VILLAGE,4,23,"SP, BELLARY",98,286,535,15.0
1742,KARURU VILLAGE,3,28,"SP, BELLARY",98,286,535,15.0
1748,SIRIGERI VILLAGE,1,32,"SP, BELLARY",98,286,535,15.0
1754,NADAVI VILLAGE,6,21,"SP, BELLARY",98,286,535,11.0
1759,DARURU VILLAGE,2,23,"SP, BELLARY",98,286,535,15.0
1765,MALAPURA VILLAGE,5,21,"SP, BELLARY",98,286,535,11.0
1770,OTHER PLACES,OTHER BEAT,1,"SP, BELLARY",98,286,535,2.0
1771,SIRUGUPPA TOWN,1,53,"SP, BELLARY",98,286,535,15.0
1777,DESHNUR VILLAGE,2,19,"SP, BELLARY",98,286,535,15.0
1783,SHESHADRI NAGARA CAMP,3,20,"SP, BELLARY",98,286,535,11.0
1788,NAGARAHAL VILLAGE,11,8,"SP, BELLARY",98,286,535,11.0
1793,NADANGA VILLAGE,9,18,"SP, BELLARY",98,286,535,14.0
1798,RARAVI VILLAGE,6,25,"SP, BELLARY",98,286,535,15.0
1804,BAGEWADI VILLAGE,4,19,"SP, BELLARY",98,286,535,15.0
1810,GAJJIGANAL VILLAGE,5,13,"SP, BELLARY",98,286,535,14.0
1815,B M SUGURU VILLAGE,12,10,"SP, BELLARY",98,286,535,11.0
1820,BANDRAL VILLAGE,7,12,"SP, BELLARY",98,286,535,10.0
1824,K BELAGAL VILLAGE,10,23,"SP, BELLARY",98,286,535,15.0
1830,K.SUGURU VILLAGE,8,18,"SP, BELLARY",98,286,535,11.0
1835,Other Beat,Other Beat,1,"SP, BELLARY",98,286,535,4.0
1836,HERKAL,3,22,"SP, BELLARY",98,286,535,15.0
1842,NITTURU,2,14,"SP, BELLARY",98,286,535,10.0
1846,TEKKALKOTE Town,1,39,"SP, BELLARY",98,286,535,15.0
1852,BALAKUNDI,5,24,"SP, BELLARY",98,286,535,11.0
1857,POPPANAHAL,4,15,"SP, BELLARY",98,286,535,15.0
1863,HERKAL,6,5,"SP, BELLARY",98,286,535,10.0
1867,BALAKUNDI,10,9,"SP, BELLARY",98,286,535,10.0
1871,ARALIGANUR,7,7,"SP, BELLARY",98,286,535,10.0
1875,MYLAPUR,11,2,"SP, BELLARY",98,286,535,3.0
1877,POPPANAHAL,8,3,"SP, BELLARY",98,286,535,5.0
1880,BALAKUNDI,9,5,"SP, BELLARY",98,286,535,10.0
1884,TORANAGALLU R.S,1,46,"SP, BELLARY",98,286,535,15.0
1890,TUMUTI VILLAGE,5,10,"SP, BELLARY",98,286,535,15.0
1895,METRIKI VILLAGE,9,10,"SP, BELLARY",98,286,535,11.0
1900,GUNDLA HALLI VILLAGE,10,7,"SP, BELLARY",98,286,535,15.0
